Id,DayOfExperiment,ExperimentDates,StartMeasureTime,EndMeasureTime,MeasureInSeconds,2MinutesMeanEDA,ValidMeanEDA,AverageHeartRate,StartHeartRate,EndHeartRate
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,23.961062145233157,28.5010973419806,,85.0,84.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,24.26942583719889,28.603220005228064,,100.0,91.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,24.473212178548177,28.562845658282843,,95.0,92.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,24.88687222798665,29.06391622582261,83.0,85.0,84.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,24.127527809143068,28.43352956870168,,85.0,86.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,24.669691197077437,28.80201465606689,114.0,115.0,103.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,24.065139309565225,28.34586837611248,,84.0,80.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,24.97132697105408,29.16101058648557,,80.0,75.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,24.484090185165407,28.58392204284668,,81.0,77.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,24.95307666460673,29.142357238615404,,74.0,78.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,24.166202720006307,28.75934823354085,,82.0,80.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,24.98280668258667,29.16144510269165,,86.0,86.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,24.716876141230266,28.837986886501312,,88.0,86.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,24.15937967300415,28.22210991382599,,93.0,90.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,24.314697265625,28.41416280294202,,83.0,81.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,24.62634646097819,28.753722547280667,,101.0,97.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,24.34534228642781,28.69099255198056,,73.0,74.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,23.8792138894399,27.891990525381907,,87.0,85.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,24.683504088719687,29.107570509115856,,71.0,75.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,25.13847738901774,29.63425845095986,,74.0,76.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,24.618611907958982,28.717846015064985,,70.0,73.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,24.526354042689004,28.63107783384997,,84.0,92.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,25.003792413075765,29.182900886535645,,77.0,79.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,23.81334867477417,27.796333730220795,,102.0,84.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,24.72574806213379,28.87089672088623,,68.0,77.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,24.646002848943077,28.81411856412888,,82.0,79.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,24.451490910847983,28.55211519954181,,70.0,84.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,24.321762561798096,28.39106585054981,,78.0,85.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,22.5645235648522,28.54929353733256,,75.0,76.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,180000.0,25.31074054821117,28.589961727963217,,73.0,82.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,24.442051490147907,28.530088195800783,,95.0,96.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,20.009573475007087,29.58572989819097,,78.0,86.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,24.20596730041504,29.13995368881981,,107.0,98.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,24.717517693837483,29.418901774348043,80.0,75.0,83.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,24.23675042788188,28.29239982604981,,104.0,88.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,24.24101265271505,28.56960121466189,88.0,90.0,89.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,23.38931628417969,29.228091833326552,81.0,77.0,84.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,24.40119744936625,29.040876349624323,95.0,97.0,95.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,24.67228523890177,28.83991198637048,,119.0,93.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,20.24049949645996,29.52600336074829,83.0,81.0,88.0
sub_077,16.0,2022-11-03,2022-11-03 12:07:20,2022-11-03 12:09:22,120000.0,24.912922175725303,29.11323063643937,88.0,94.0,87.0
